"DateTime","Tasa Representativa del Mercado (TRM)"
"1993-10-05 05:00:00",812.27
"1993-10-06 05:00:00",812.75
"1993-10-07 05:00:00",812.54
"1993-10-08 05:00:00",811.91
"1993-10-09 05:00:00",811.28
"1993-10-10 05:00:00",811.28
"1993-10-11 05:00:00",811.28
"1993-10-12 05:00:00",811.19
"1993-10-13 05:00:00",811.47
"1993-10-14 05:00:00",811.46
"1993-10-15 05:00:00",812.41
"1993-10-16 05:00:00",813.28
"1993-10-17 05:00:00",813.28
"1993-10-18 05:00:00",813.28
"1993-10-19 05:00:00",813.28
"1993-10-20 05:00:00",813.79
"1993-10-21 05:00:00",816.41
"1993-10-22 05:00:00",819.26
"1993-10-23 05:00:00",819.41
"1993-10-24 05:00:00",819.41
"1993-10-25 05:00:00",819.41
"1993-10-26 05:00:00",819.44
"1993-10-27 05:00:00",819.55
"1993-10-28 05:00:00",818.98
"1993-10-29 05:00:00",818.06
"1993-10-30 05:00:00",817.03
"1993-10-31 05:00:00",817.03
"1993-11-01 05:00:00",817.03
"1993-11-02 05:00:00",817.03
"1993-11-03 05:00:00",816.7
"1993-11-04 05:00:00",817.01
"1993-11-05 05:00:00",816.79
"1993-11-06 05:00:00",815.7
"1993-11-07 05:00:00",815.7
"1993-11-08 05:00:00",815.7
"1993-11-09 05:00:00",814.26
"1993-11-10 05:00:00",813.95
"1993-11-11 05:00:00",811.07
"1993-11-12 05:00:00",809.87
"1993-11-13 05:00:00",809.95
"1993-11-14 05:00:00",809.95
"1993-11-15 05:00:00",809.95
"1993-11-16 05:00:00",809.95
"1993-11-17 05:00:00",815.18
"1993-11-18 05:00:00",816.32
"1993-11-19 05:00:00",816.62
"1993-11-20 05:00:00",817.06
"1993-11-21 05:00:00",817.06
"1993-11-22 05:00:00",817.06
"1993-11-23 05:00:00",814.48
"1993-11-24 05:00:00",812.12
"1993-11-25 05:00:00",811.67
"1993-11-26 05:00:00",812.04
"1993-11-27 05:00:00",812.11
"1993-11-28 05:00:00",812.11
"1993-11-29 05:00:00",812.11
"1993-11-30 05:00:00",811.73
"1993-12-01 05:00:00",812.21
"1993-12-02 05:00:00",811.78
"1993-12-03 05:00:00",809.63
"1993-12-04 05:00:00",806.49
"1993-12-05 05:00:00",806.49
"1993-12-06 05:00:00",806.49
"1993-12-07 05:00:00",803.1
"1993-12-08 05:00:00",800.6
"1993-12-09 05:00:00",800.6
"1993-12-10 05:00:00",798.51
"1993-12-11 05:00:00",797.53
"1993-12-12 05:00:00",797.53
"1993-12-13 05:00:00",797.53
"1993-12-14 05:00:00",798.2
"1993-12-15 05:00:00",798.12
"1993-12-16 05:00:00",799.43
"1993-12-17 05:00:00",804.89
"1993-12-18 05:00:00",806.5
"1993-12-19 05:00:00",806.5
"1993-12-20 05:00:00",806.5
"1993-12-21 05:00:00",803.81
"1993-12-22 05:00:00",802.46
"1993-12-23 05:00:00",801.4
"1993-12-24 05:00:00",801.69
"1993-12-25 05:00:00",801.69
"1993-12-26 05:00:00",801.69
"1993-12-27 05:00:00",801.69
"1993-12-28 05:00:00",809.13
"1993-12-29 05:00:00",802.33
"1993-12-30 05:00:00",802.71
"1993-12-31 05:00:00",804.33
"1994-01-01 05:00:00",804.33
"1994-01-02 05:00:00",804.33
"1994-01-03 05:00:00",804.33
"1994-01-04 05:00:00",805.91
"1994-01-05 05:00:00",810.01
